cur	ec	mod-ps	rg-ps	di-ps	fw1-ps	fw2-ps	pf-ps	vlv-di-fill	vlv-di-in	vlv-di-out	vlv-rg-fill	vlv-rg-drain	vlv-rg-in	vlv-rg-out	vlv-fw1-in	vlv-fw1-out	vlv-fw2-in	vlv-po	vlv-mod-drain	pmp-sys	pmp-di	pmp-fw1	pmp-fw2	uv	en-anode1	en-cath1	pl-anode1	pl-cath1	en-anode2	en-cath2	pl-anode2	pl-cath2	pw	rg-he	di-he	fw1-he	fw2-he	rg-lev	di-lev	fw1-lev	fw2-lev	rg-vol	di-vol	fw1-vol	fw2-vol	pr-ec	ver	sn	mod-en	mod-pl	proc	proc-time	ph	ph-time	count	cyc	rnd	pr-last	rc-last	fr-last	halt-re	time	exec
-0.6	0.044	20062.5	2840.625	2287.5	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-7.0	0.099	0.287	NaN	NaN	0.236	0.638	NaN	NaN	7.08	22.33	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	8.239	"prime"	7.421	0	0	0	0.0	0.0	0.0	null	10.052	0.084
-0.4	0.044275	20250.0	2831.25	2325.0	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-5.0	0.098	0.291	NaN	NaN	0.233	0.647	NaN	NaN	6.99	22.645	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	8.44	"prime"	7.622	0	0	0	0.0	0.0	0.0	null	10.253	0.09
-0.8	0.044	21375.0	2821.875	2296.875	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-10.0	0.097	0.288	NaN	NaN	0.231	0.64	NaN	NaN	6.93	22.4	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	18.274	"prime"	17.456	0	0	0	0.0	0.0	0.0	null	20.087	0.084
-0.4	0.044	19875.0	2821.875	2315.625	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-5.0	0.097	0.29	NaN	NaN	0.231	0.644	NaN	NaN	6.93	22.54	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	28.316	"prime"	27.498	0	0	0	0.0	0.0	0.0	null	30.129	0.087
-12.0	0.04345	27562.5	3009.375	2596.875	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-144.0	0.116	0.318	NaN	NaN	0.276	0.707	NaN	NaN	8.28	24.745	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	38.357	"deionize"	7.03	0	1	0	0.0	0.0	0.0	null	40.17	0.084
-11.7	0.0429	24937.5	3009.375	2587.5	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-140.0	0.116	0.317	NaN	NaN	0.276	0.704	NaN	NaN	8.28	24.64	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	48.405	"deionize"	17.078	0	1	0	0.0	0.0	0.0	null	50.218	0.088
-12.3	0.042075	26250.0	2990.625	2606.25	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-148.0	0.114	0.319	NaN	NaN	0.271	0.709	NaN	NaN	8.13	24.815	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	58.444	"deionize"	27.117	0	1	0	0.0	0.0	0.0	null	60.257	0.087
-11.0	0.040975	26062.5	2990.625	2625.0	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-132.0	0.114	0.321	NaN	NaN	0.271	0.713	NaN	NaN	8.13	24.955	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	68.484	"deionize"	37.157	0	1	0	0.0	0.0	0.0	null	70.297	0.087
-11.8	0.040425	25125.0	3000.0	2559.375	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-142.0	0.115	0.314	NaN	NaN	0.274	0.698	NaN	NaN	8.22	24.43	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	78.528	"deionize"	47.201	0	1	0	0.0	0.0	0.0	null	80.341	0.084
-12.0	0.038775	26062.5	3000.0	2643.75	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-144.0	0.115	0.322	NaN	NaN	0.274	0.716	NaN	NaN	8.22	25.06	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	88.361	"deionize"	57.034	0	1	0	0.0	0.0	0.0	null	90.174	0.091
