cur	ec	mod-ps	rg-ps	di-ps	fw1-ps	fw2-ps	pf-ps	vlv-di-fill	vlv-di-in	vlv-di-out	vlv-rg-fill	vlv-rg-drain	vlv-rg-in	vlv-rg-out	vlv-fw1-in	vlv-fw1-out	vlv-fw2-in	vlv-po	vlv-mod-drain	pmp-sys	pmp-di	pmp-fw1	pmp-fw2	uv	en-anode1	en-cath1	pl-anode1	pl-cath1	en-anode2	en-cath2	pl-anode2	pl-cath2	pw	rg-he	di-he	fw1-he	fw2-he	rg-lev	di-lev	fw1-lev	fw2-lev	rg-vol	di-vol	fw1-vol	fw2-vol	pr-ec	ver	sn	mod-en	mod-pl	proc	proc-time	ph	ph-time	count	cyc	rnd	pr-last	rc-last	fr-last	halt-re	time	exec
-1.8	0.052525	27000.0	2062.5	2043.75	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-22.0	0.021	0.262	NaN	NaN	0.05	0.582	NaN	NaN	1.5	20.37	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	8.252	"fill-rg-di"	8.051	0	0	0	0.0	0.0	0.0	null	10.053	0.091
-1.6	0.052525	25687.5	2071.875	2071.875	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-19.0	0.022	0.265	NaN	NaN	0.052	0.589	NaN	NaN	1.56	20.615	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	8.454	"fill-rg-di"	8.253	0	0	0	0.0	0.0	0.0	null	10.255	0.087
-1.8	0.05225	28125.0	2362.5	1809.375	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-22.0	0.051	0.239	NaN	NaN	0.121	0.531	NaN	NaN	3.63	18.585	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	18.287	"fill-rg-di"	18.086	0	0	0	0.0	0.0	0.0	null	20.088	0.089
-2.3	0.05225	28125.0	2709.375	1556.25	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-28.0	0.086	0.214	NaN	NaN	0.205	0.476	NaN	NaN	6.15	16.66	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	28.328	"fill-rg-di"	28.127	0	0	0	0.0	0.0	0.0	null	30.129	0.091
-1.9	0.050875	3937.5	3000.0	1340.625	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-23.0	0.115	0.192	NaN	NaN	0.274	0.427	NaN	NaN	8.22	14.945	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	38.364	"fill-di"	0.602	0	0	0	0.0	0.0	0.0	null	40.165	0.087
-2.1	0.05115	2250.0	2971.875	1612.5	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-25.0	0.112	0.219	NaN	NaN	0.267	0.487	NaN	NaN	8.01	17.045	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	48.397	"fill-di"	10.635	0	0	0	0.0	0.0	0.0	null	50.198	0.09
-1.9	0.050875	2250.0	2981.25	1921.875	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-23.0	0.113	0.25	NaN	NaN	0.269	0.556	NaN	NaN	8.07	19.46	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	58.441	"fill-di"	20.679	0	0	0	0.0	0.0	0.0	null	60.242	0.091
-1.5	0.050875	2812.5	2971.875	2221.875	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-18.0	0.112	0.28	NaN	NaN	0.267	0.622	NaN	NaN	8.01	21.77	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	68.477	"fill-di"	30.715	0	0	0	0.0	0.0	0.0	null	70.278	0.087
-1.7	0.050875	26062.5	2859.375	2259.375	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-20.0	0.101	0.284	NaN	NaN	0.24	0.631	NaN	NaN	7.2	22.085	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	78.52	"prime"	9.24	0	0	0	0.0	0.0	0.0	null	80.321	0.091
-1.9	0.0506	26250.0	2812.5	2240.625	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-23.0	0.096	0.282	NaN	NaN	0.229	0.627	NaN	NaN	6.87	21.945	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	88.356	"prime"	19.076	0	0	0	0.0	0.0	0.0	null	90.157	0.086
