cur	ec	mod-ps	rg-ps	di-ps	fw1-ps	fw2-ps	pf-ps	vlv-di-fill	vlv-di-in	vlv-di-out	vlv-rg-fill	vlv-rg-drain	vlv-rg-in	vlv-rg-out	vlv-fw1-in	vlv-fw1-out	vlv-fw2-in	vlv-po	vlv-mod-drain	pmp-sys	pmp-di	pmp-fw1	pmp-fw2	uv	en-anode1	en-cath1	pl-anode1	pl-cath1	en-anode2	en-cath2	pl-anode2	pl-cath2	pw	rg-he	di-he	fw1-he	fw2-he	rg-lev	di-lev	fw1-lev	fw2-lev	rg-vol	di-vol	fw1-vol	fw2-vol	pr-ec	ver	sn	mod-en	mod-pl	proc	proc-time	ph	ph-time	count	cyc	rnd	pr-last	rc-last	fr-last	halt-re	time	exec
-0.4	0.0539	22125.0	1837.5	2100.0	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-5.0	-0.001	0.268	NaN	NaN	-0.002	0.596	NaN	NaN	-0.06	20.86	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	8.249	"fill-rg-di"	8.049	0	0	0	0.0	0.0	0.0	null	10.033	0.088
-0.4	0.0539	22125.0	1837.5	2100.0	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-5.0	-0.001	0.268	NaN	NaN	-0.002	0.596	NaN	NaN	-0.06	20.86	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	8.249	"fill-rg-di"	8.049	0	0	0	0.0	0.0	0.0	null	10.033	0.088
-0.9	0.053075	20250.0	2268.75	1837.5	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-11.0	0.042	0.242	NaN	NaN	0.1	0.538	NaN	NaN	3.0	18.83	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	18.283	"fill-rg-di"	18.083	0	0	0	0.0	0.0	0.0	null	20.067	0.084
0.1	0.05225	21375.0	2531.25	1603.125	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1.0	0.068	0.218	NaN	NaN	0.162	0.484	NaN	NaN	4.86	16.94	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	28.323	"fill-rg-di"	28.123	0	0	0	0.0	0.0	0.0	null	30.107	0.084
-0.7	0.05115	21937.5	2859.375	1321.875	NaN	NaN	NaN	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-8.0	0.101	0.19	NaN	NaN	0.24	0.422	NaN	NaN	7.2	14.77	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	38.361	"fill-rg-di"	38.161	0	0	0	0.0	0.0	0.0	null	40.145	0.084
-0.5	0.050875	1687.5	2971.875	1443.75	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-6.0	0.112	0.202	NaN	NaN	0.267	0.449	NaN	NaN	8.01	15.715	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	48.398	"fill-di"	6.624	0	0	0	0.0	0.0	0.0	null	50.182	0.084
-2.1	0.05005	2250.0	2962.5	1743.75	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-25.0	0.111	0.232	NaN	NaN	0.264	0.516	NaN	NaN	7.92	18.06	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	58.437	"fill-di"	16.663	0	0	0	0.0	0.0	0.0	null	60.221	0.085
-1.2	0.0506	3187.5	2962.5	2043.75	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-14.0	0.111	0.262	NaN	NaN	0.264	0.582	NaN	NaN	7.92	20.37	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	68.473	"fill-di"	26.699	0	0	0	0.0	0.0	0.0	null	70.257	0.086
-0.6	0.049775	23250.0	2840.625	2259.375	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-7.0	0.099	0.284	NaN	NaN	0.236	0.631	NaN	NaN	7.08	22.085	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	78.508	"prime"	3.816	0	0	0	0.0	0.0	0.0	null	80.292	0.086
0.9	0.05005	20437.5	2793.75	2250.0	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	11.0	0.094	0.283	NaN	NaN	0.224	0.629	NaN	NaN	6.72	22.015	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	88.346	"prime"	13.654	0	0	0	0.0	0.0	0.0	null	90.13	0.085
-2.1	0.049775	22500.0	2831.25	2259.375	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-25.0	0.098	0.284	NaN	NaN	0.233	0.631	NaN	NaN	6.99	22.085	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	98.387	"prime"	23.695	0	0	0	0.0	0.0	0.0	null	100.171	0.084
-12.4	0.0495	30000.0	2971.875	2475.0	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-149.0	0.112	0.305	NaN	NaN	0.267	0.678	NaN	NaN	8.01	23.73	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	108.432	"deionize"	3.218	0	1	0	0.0	0.0	0.0	null	110.216	0.085
-12.2	0.0484	30000.0	2971.875	2540.625	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-146.0	0.112	0.312	NaN	NaN	0.267	0.693	NaN	NaN	8.01	24.255	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	118.47	"deionize"	13.256	0	1	0	0.0	0.0	0.0	null	120.254	0.084
-10.7	0.048125	27562.5	2953.125	2512.5	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-128.0	0.11	0.309	NaN	NaN	0.262	0.687	NaN	NaN	7.86	24.045	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	128.505	"deionize"	23.291	0	1	0	0.0	0.0	0.0	null	130.289	0.084
-11.9	0.04565	27562.5	2962.5	2456.25	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-143.0	0.111	0.304	NaN	NaN	0.264	0.676	NaN	NaN	7.92	23.66	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	138.546	"deionize"	33.332	0	1	0	0.0	0.0	0.0	null	140.33	0.088
