cur	ec	mod-ps	rg-ps	di-ps	fw1-ps	fw2-ps	pf-ps	vlv-di-fill	vlv-di-in	vlv-di-out	vlv-rg-fill	vlv-rg-drain	vlv-rg-in	vlv-rg-out	vlv-fw1-in	vlv-fw1-out	vlv-fw2-in	vlv-po	vlv-mod-drain	pmp-sys	pmp-di	pmp-fw1	pmp-fw2	uv	en-anode1	en-cath1	pl-anode1	pl-cath1	en-anode2	en-cath2	pl-anode2	pl-cath2	pw	rg-he	di-he	fw1-he	fw2-he	rg-lev	di-lev	fw1-lev	fw2-lev	rg-vol	di-vol	fw1-vol	fw2-vol	pr-ec	ver	sn	mod-en	mod-pl	proc	proc-time	ph	ph-time	count	cyc	rnd	pr-last	rc-last	fr-last	halt-re	time	exec
0.8	0.05005	8250.0	1968.75	-234.375	NaN	NaN	NaN	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	10.0	0.012	0.025	NaN	NaN	0.029	0.056	NaN	NaN	0.87	1.96	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	8.449	"flush-fw-bf"	8.248	0	0	0	0.0	0.0	0.0	null	10.031	0.089
0.8	0.05005	8250.0	1968.75	-234.375	NaN	NaN	NaN	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	10.0	0.012	0.025	NaN	NaN	0.029	0.056	NaN	NaN	0.87	1.96	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	8.449	"flush-fw-bf"	8.248	0	0	0	0.0	0.0	0.0	null	10.031	0.089
0.9	0.049775	8625.0	1771.875	-215.625	NaN	NaN	NaN	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	11.0	-0.008	0.026	NaN	NaN	-0.019	0.058	NaN	NaN	-0.57	2.03	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	18.483	"flush-fw-bf"	18.282	0	0	0	0.0	0.0	0.0	null	20.065	0.087
1.3	0.0495	8812.5	1528.125	-206.25	NaN	NaN	NaN	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	16.0	-0.032	0.027	NaN	NaN	-0.076	0.06	NaN	NaN	-2.28	2.1	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	28.522	"flush-fw-bf"	28.321	0	0	0	0.0	0.0	0.0	null	30.104	0.096
0.6	0.049225	7312.5	900.0	-178.125	NaN	NaN	NaN	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	7.0	-0.095	0.03	NaN	NaN	-0.226	0.067	NaN	NaN	-6.78	2.345	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	38.551	"flush-fw-bf"	38.35	0	0	0	0.0	0.0	0.0	null	40.133	0.09
-0.2	0.0484	7687.5	37.5	-187.5	NaN	NaN	NaN	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-2.0	-0.181	0.029	NaN	NaN	-0.431	0.064	NaN	NaN	-12.93	2.24	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	48.581	"flush-fw-bf"	48.38	0	0	0	0.0	0.0	0.0	null	50.163	0.087
0.8	0.047575	7500.0	112.5	-178.125	NaN	NaN	NaN	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	10.0	-0.174	0.03	NaN	NaN	-0.414	0.067	NaN	NaN	-12.42	2.345	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	58.62	"flush-fw-bf"	58.419	0	0	0	0.0	0.0	0.0	null	60.202	0.097
-0.7	0.047025	-13500.0	18.75	-187.5	NaN	NaN	NaN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	-8.0	-0.183	0.029	NaN	NaN	-0.436	0.064	NaN	NaN	-13.08	2.24	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	68.655	"drip-rg-pre"	8.228	0	0	0	0.0	0.0	0.0	null	70.237	0.089
0.4	0.0473	6562.5	1190.625	-215.625	NaN	NaN	NaN	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	5.0	-0.066	0.026	NaN	NaN	-0.157	0.058	NaN	NaN	-4.71	2.03	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	78.692	"fill-rg-fw"	3.011	0	0	0	0.0	0.0	0.0	null	80.274	0.084
1.0	0.0473	6562.5	1893.75	-196.875	NaN	NaN	NaN	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	12.0	0.004	0.028	NaN	NaN	0.01	0.062	NaN	NaN	0.3	2.17	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	88.731	"fill-rg-fw"	13.05	0	0	0	0.0	0.0	0.0	null	90.313	0.085
2.7	0.046475	8062.5	2156.25	-196.875	NaN	NaN	NaN	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	32.0	0.031	0.028	NaN	NaN	0.074	0.062	NaN	NaN	2.22	2.17	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	98.563	"fill-rg-fw"	22.882	0	0	0	0.0	0.0	0.0	null	100.145	0.09
1.0	0.0462	8437.5	2353.125	-206.25	NaN	NaN	NaN	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	12.0	0.05	0.027	NaN	NaN	0.119	0.06	NaN	NaN	3.57	2.1	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	108.6	"fill-rg-fw"	32.919	0	0	0	0.0	0.0	0.0	null	110.182	0.092
1.3	0.0451	8812.5	2559.375	-187.5	NaN	NaN	NaN	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	16.0	0.071	0.029	NaN	NaN	0.169	0.064	NaN	NaN	5.07	2.24	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	118.639	"fill-rg-fw"	42.958	0	0	0	0.0	0.0	0.0	null	120.221	0.094
0.7	0.0451	8062.5	2765.625	-178.125	NaN	NaN	NaN	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	8.0	0.092	0.03	NaN	NaN	0.219	0.067	NaN	NaN	6.57	2.345	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	128.672	"fill-rg-fw"	52.991	0	0	0	0.0	0.0	0.0	null	130.254	0.09
6.6	0.044825	9000.0	2971.875	-215.625	NaN	NaN	NaN	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	79.0	0.112	0.026	NaN	NaN	0.267	0.058	NaN	NaN	8.01	2.03	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	138.707	"fill-rg-fw"	63.026	0	0	0	0.0	0.0	0.0	null	140.289	0.092
0.6	0.044	9187.5	3168.75	-196.875	NaN	NaN	NaN	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	7.0	0.132	0.028	NaN	NaN	0.314	0.062	NaN	NaN	9.42	2.17	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"RC"	148.744	"fill-rg-fw"	73.063	0	0	0	0.0	0.0	0.0	null	150.326	0.09
-12.1	0.043725	2625.0	3253.125	-196.875	NaN	NaN	NaN	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	-145.0	0.14	0.028	NaN	NaN	0.333	0.062	NaN	NaN	9.99	2.17	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"RC"	158.801	"deionize"	5.643	0	1	0	0.0	0.0	0.0	null	160.383	0.089
-12.7	0.0429	750.0	3253.125	-215.625	NaN	NaN	NaN	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	-152.0	0.14	0.026	NaN	NaN	0.333	0.058	NaN	NaN	9.99	2.03	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"RC"	168.644	"deionize"	15.486	0	1	0	0.0	0.0	0.0	null	170.226	0.086
