cur	ec	mod-ps	rg-ps	di-ps	fw1-ps	fw2-ps	pf-ps	vlv-di-fill	vlv-di-in	vlv-di-out	vlv-rg-fill	vlv-rg-drain	vlv-rg-in	vlv-rg-out	vlv-fw1-in	vlv-fw1-out	vlv-fw2-in	vlv-po	vlv-mod-drain	pmp-sys	pmp-di	pmp-fw1	pmp-fw2	uv	en-anode1	en-cath1	pl-anode1	pl-cath1	en-anode2	en-cath2	pl-anode2	pl-cath2	pw	rg-he	di-he	fw1-he	fw2-he	rg-lev	di-lev	fw1-lev	fw2-lev	rg-vol	di-vol	fw1-vol	fw2-vol	pr-ec	ver	sn	mod-en	mod-pl	proc	proc-time	ph	ph-time	count	cyc	rnd	pr-last	rc-last	fr-last	halt-re	time	exec
-1.1	0.045375	1875.0	2981.25	1153.125	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-13.0	0.113	0.173	NaN	NaN	0.269	0.384	NaN	NaN	8.07	13.44	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	8.247	"fill-di"	6.221	0	0	0	0.0	0.0	0.0	null	10.05	0.084
-0.5	0.04565	2250.0	2971.875	1171.875	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-6.0	0.112	0.175	NaN	NaN	0.267	0.389	NaN	NaN	8.01	13.615	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	8.448	"fill-di"	6.422	0	0	0	0.0	0.0	0.0	null	10.251	0.089
-0.7	0.045925	2812.5	2962.5	1471.875	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-8.0	0.111	0.205	NaN	NaN	0.264	0.456	NaN	NaN	7.92	15.96	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	18.286	"fill-di"	16.26	0	0	0	0.0	0.0	0.0	null	20.089	0.086
-0.8	0.045925	1875.0	2971.875	1781.25	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-10.0	0.112	0.236	NaN	NaN	0.267	0.524	NaN	NaN	8.01	18.34	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	28.322	"fill-di"	26.296	0	0	0	0.0	0.0	0.0	null	30.125	0.087
-0.5	0.04565	1875.0	2981.25	2100.0	NaN	NaN	NaN	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	-6.0	0.113	0.268	NaN	NaN	0.269	0.596	NaN	NaN	8.07	20.86	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	38.354	"fill-di"	36.328	0	0	0	0.0	0.0	0.0	null	40.157	0.084
-0.5	0.04565	18375.0	2812.5	2268.75	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-6.0	0.096	0.285	NaN	NaN	0.229	0.633	NaN	NaN	6.87	22.155	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	48.394	"prime"	5.018	0	0	0	0.0	0.0	0.0	null	50.197	0.088
-0.5	0.04565	18375.0	2765.625	2278.125	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-6.0	0.092	0.286	NaN	NaN	0.219	0.636	NaN	NaN	6.57	22.26	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	58.432	"prime"	15.056	0	0	0	0.0	0.0	0.0	null	60.235	0.083
-0.6	0.0451	19312.5	2831.25	2287.5	NaN	NaN	NaN	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	-7.0	0.098	0.287	NaN	NaN	0.233	0.638	NaN	NaN	6.99	22.33	NaN	NaN	0.0	"2.5"	"F0034"	0	0	"PR"	68.464	"prime"	25.088	0	0	0	0.0	0.0	0.0	null	70.267	0.086
-11.8	0.044	25500.0	2981.25	2493.75	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-142.0	0.113	0.307	NaN	NaN	0.269	0.682	NaN	NaN	8.07	23.87	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	78.507	"deionize"	4.622	0	1	0	0.0	0.0	0.0	null	80.31	0.084
-11.0	0.04345	23062.5	2981.25	2493.75	NaN	NaN	NaN	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	-132.0	0.113	0.307	NaN	NaN	0.269	0.682	NaN	NaN	8.07	23.87	NaN	NaN	0.0	"2.5"	"F0034"	1	0	"PR"	88.54	"deionize"	14.655	0	1	0	0.0	0.0	0.0	null	90.343	0.084
